ID;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Описание;Площадь комнат, м2;Название ЖК;Высота потолков, м;Лифт;Ссылка на объявление
314200843;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;46.3/17.6/11.5;19/20, Монолитный;подземная;18622786 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 46,3 кв.м. в ЖК ""Михалковский"" на 19-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";17.6;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/314200843
307196743;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;45.8/16.2/16.4;12/18, Монолитный;подземная;18671744 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 45,8 кв.м. в ЖК ""Михалковский"" на 12-м этаже 18 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";16.2;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/307196743
315444913;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;45.7/16.2/16.3;15/18, Монолитный;подземная;18714150 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 45,7 кв.м. в ЖК ""Михалковский"" на 15-м этаже 18 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";16.2;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/315444913
314200846;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;45.7/16.1/16.4;14/18, Монолитный;подземная;18714150 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 45,7 кв.м. в ЖК ""Михалковский"" на 14-м этаже 18 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";16.1;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/314200846
314200839;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;50.1/15.3/20.1;7/18, Монолитный;подземная;19604130 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 50,1 кв.м. в ЖК ""Михалковский"" на 7-м этаже 18 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок  ..., 31 фото";15.3;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/314200839
316078744;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;46.4/17.5/11.5;9/20, Монолитный;подземная;20091200 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 46,4 кв.м. в ЖК ""Михалковский"" на 9-м этаже 20 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок  ..., 31 фото";17.5;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/316078744
315444921;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;50.0/15.4/20.1;17/18, Монолитный;подземная;20930000 руб., 214-ФЗ, Возможна ипотека;+74951378725;"Ипотека для семей с детьми! Полная стоимость кредита: от 3,752% - 4,754%. Ставка от 2,99% фиксируется на весь срок с даты заключения кредитного договора. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.2016.

Скидка до 9% при покупке квартиры! Цена указана с учетом максимального размера скидки.

Идет выдача ключей. 

Продаётся 1-к квартира 50,0 кв.м. в ЖК ""Михалковский"" на 17-м этаже 18 этажного дома.

Ипотека 3,5% для каждого. ПСК: 23,64% - 24,54%. Ставка 3,5% фиксируется на 1 год с даты заключения кредитного договора, далее применяется рыночная ставка на стандартных условиях до окончания срока кредитования.
Первоначальный взнос — от 30%. Срок кредитования — до 30 лет. ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" Лицензия  1978 от 06.05.16.
Воспользоваться предложением возможно только до 18.04.25г.

Ипотека для семей с детьми: ставка от 3,5%. ПСК: 3,798% до 9,982%. Ставка 3,5% фиксируется на весь срок кредитования с даты заключения кредитного договора.
Первоначальный взнос — от 20,1%. Срок ..., 31 фото";15.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;Груз (10);https://www.cian.ru/sale/flat/315444921
315713658;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.5/32.3/7.0;4/35, Монолитный;;20852811 руб., Свободная продажа;+74951462481;"Наиболее удобный вариант планировки однокомнатной квартиры, её особенность - максимально эффективное использование площади. Просторная кухня-гостиная позволит вам с комфортом разместиться и принимать гостей у себя дома, а великолепные виды из широкоформатных окон на  тихий благоустроенный двор дополнят преимущества квартиры.

""Фестиваль Парк""  это продуманный до мелочей жилой комплекс, окруженный зелеными парками и живописными прудами. Настоящая мечта, которая стала реальностью.
ЖК ""Фестиваль Парк"" разместился в престижном Левобережном районе Москвы в двух минутах ходьбы от метро ""Речной вокзал"". Это одно из лучших мест столицы с точки зрения экологии - вокруг домов разбиты парки и скверы. В пешей доступности от комплекса находятся Парк Дружбы, Фестивальные пруды и набережная Химкинского водохранилища.

Преимущества:
	Панорамные виды из окон
	Жизнь в окружении парков и водоемов
	Эффектная современная архитектура
	Стильные авторские лобби
	Закрытый благоустроенный двор без машин
	2х уро ..., 19 фото";;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;;https://www.cian.ru/sale/flat/315713658
315713663;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.3/32.3/7.0;6/35, Монолитный;;20920591 руб., Свободная продажа;+74951462481;"Наиболее удобный вариант планировки однокомнатной квартиры, её особенность - максимально эффективное использование площади. Просторная кухня-гостиная позволит вам с комфортом разместиться и принимать гостей у себя дома, а великолепные виды из широкоформатных окон на  тихий благоустроенный двор дополнят преимущества квартиры.

""Фестиваль Парк""  это продуманный до мелочей жилой комплекс, окруженный зелеными парками и живописными прудами. Настоящая мечта, которая стала реальностью.
ЖК ""Фестиваль Парк"" разместился в престижном Левобережном районе Москвы в двух минутах ходьбы от метро ""Речной вокзал"". Это одно из лучших мест столицы с точки зрения экологии - вокруг домов разбиты парки и скверы. В пешей доступности от комплекса находятся Парк Дружбы, Фестивальные пруды и набережная Химкинского водохранилища.

Преимущества:
	Панорамные виды из окон
	Жизнь в окружении парков и водоемов
	Эффектная современная архитектура
	Стильные авторские лобби
	Закрытый благоустроенный двор без машин
	2х уро ..., 19 фото";;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;;https://www.cian.ru/sale/flat/315713663
315713680;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.3/32.3/7.0;10/35, Монолитный;;21123332 руб., Свободная продажа;+74951462481;"Наиболее удобный вариант планировки однокомнатной квартиры, её особенность - максимально эффективное использование площади. Просторная кухня-гостиная позволит вам с комфортом разместиться и принимать гостей у себя дома, а великолепные виды из широкоформатных окон на  тихий благоустроенный двор дополнят преимущества квартиры.

""Фестиваль Парк""  это продуманный до мелочей жилой комплекс, окруженный зелеными парками и живописными прудами. Настоящая мечта, которая стала реальностью.
ЖК ""Фестиваль Парк"" разместился в престижном Левобережном районе Москвы в двух минутах ходьбы от метро ""Речной вокзал"". Это одно из лучших мест столицы с точки зрения экологии - вокруг домов разбиты парки и скверы. В пешей доступности от комплекса находятся Парк Дружбы, Фестивальные пруды и набережная Химкинского водохранилища.

Преимущества:
	Панорамные виды из окон
	Жизнь в окружении парков и водоемов
	Эффектная современная архитектура
	Стильные авторские лобби
	Закрытый благоустроенный двор без машин
	2х уро ..., 19 фото";;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;;https://www.cian.ru/sale/flat/315713680
